District,Headquarters,Population (2011),Area (sq km)
Agar Malwa,Agar,571275,2785
Alirajpur,Alirajpur,728999,3182
Anuppur,Anuppur,749237,3747
Ashoknagar,Ashoknagar,845071,4674
Balaghat,Balaghat,1701698,9229
Barwani,Barwani,1385881,5427
Betul,Betul,1575362,10043
Bhind,Bhind,1703005,4459
Bhopal,Bhopal,2371061,2772
Burhanpur,Burhanpur,757847,3427
Chhatarpur,Chhatarpur,1762375,8687
Chhindwara,Chhindwara,2090922,11815
Damoh,Damoh,1264219,7306
Datia,Datia,786754,2691
Dewas,Dewas,1563715,7020
Dhar,Dhar,2185793,8153
Dindori,Dindori,704524,7470
Guna,Guna,1241519,6390
Gwalior,Gwalior,2032036,4560
Harda,Harda,570465,3333
Indore,Indore,3276697,3898
Jabalpur,Jabalpur,2463289,5211
Jhabua,Jhabua,1025048,3600
Katni,Katni,1292042,4950
Khandwa,Khandwa,1310061,7352
Khargone,Khargone,1873046,8030
Mandla,Mandla,1054905,5800
Mandsaur,Mandsaur,1340411,5535
Morena,Morena,1965970,4989
Narmadapuram,Narmadapuram,1241324,6707
Narsinghpur,Narsinghpur,1091854,5133
Neemuch,Neemuch,826067,4256
Niwari,Niwari,404807,1170
Panna,Panna,1016520,7135
Raisen,Raisen,1331597,8466
Rajgarh,Rajgarh,1545814,6153
Ratlam,Ratlam,1455069,4861
Rewa,Rewa,2365106,6314
Sagar,Sagar,2378458,10252
Satna,Satna,2228935,7502
Sehore,Sehore,1311332,6578
Seoni,Seoni,1379131,8758
Shahdol,Shahdol,1066063,6205
Shajapur,Shajapur,1512681,6195
Sheopur,Sheopur,687861,6606
Shivpuri,Shivpuri,1726050,10277
Sidhi,Sidhi,1127033,4851
Singrauli,Singrauli,1178273,5674
Tikamgarh,Tikamgarh,1445166,5048
Ujjain,Ujjain,1986597,6091
Umaria,Umaria,644758,4076
Vidisha,Vidisha,1458875,7371
